,expected,cellID,pulse_index,freq,sample_size,gamma,slope,r2_sdn,r2_lin
327,0,3872.0,8.0,50.0,8,0.429543359375,0.122026171875,-0.0882434191138377,-0.035219078818557126
329,0,3872.0,8.0,30.0,8,0.04755156249999999,0.0225609375,-0.00013617698028323133,0.012400393825872769
331,0,3791.0,1000.0,1000.0,252,1.79042734375,0.31191171875,0.11472907103341257,-0.3603834080355037
332,0,3791.0,0.0,1000.0,28,1.72324453125,0.302690234375,0.017945728061942612,-0.5171754934165516
333,0,3791.0,0.0,20.0,8,1.14178984375,0.20390156250000002,-0.23635442908628956,-6.280121931892487
334,0,3791.0,0.0,50.0,8,1.29170390625,0.28594453124999997,0.1250313947438343,0.03381965044980795
335,0,3791.0,0.0,40.0,5,2.5049828125,0.388627734375,0.5973567835365616,0.7617588544259732
336,0,3791.0,0.0,30.0,7,2.4367234375000004,0.37909453125000003,-1.610654564160909,-3.5945836821095973
338,0,3791.0,1.0,1000.0,28,1.72324453125,0.302690234375,0.017945728061942612,-0.5171754934165516
339,0,3791.0,1.0,20.0,8,1.14178984375,0.20390156250000002,-0.23635442908628956,-6.280121931892487
340,0,3791.0,1.0,50.0,8,1.29170390625,0.28594453124999997,0.1250313947438343,0.03381965044980795
341,0,3791.0,1.0,40.0,5,2.5049828125,0.388627734375,0.5973567835365616,0.7617588544259732
342,0,3791.0,1.0,30.0,7,2.4367234375000004,0.37909453125000003,-1.610654564160909,-3.5945836821095973
344,0,3791.0,2.0,1000.0,28,2.2371046874999996,0.3584984375,0.2422349805701408,-0.3110706656048632
345,0,3791.0,2.0,20.0,8,1.334084375,0.23661640625000002,0.008270690884296772,-1.4149143756922236
346,0,3791.0,2.0,50.0,8,2.4645554687500004,0.40986796875,0.40202911725439316,-0.175000247814733
347,0,3791.0,2.0,40.0,5,2.7336984375000006,0.4049851562500001,0.41831842510752903,-0.16033496502285538
348,0,3791.0,2.0,30.0,7,3.1378953125000004,0.44297109375,0.3689768411424006,0.10436215618017153
350,0,3791.0,3.0,1000.0,28,1.708784375,0.30385507812499996,-0.06273464434992282,-0.5125892605450275
351,0,3791.0,3.0,20.0,8,1.56308828125,0.26786640625,-0.04144081528391874,-0.6551048971713798
352,0,3791.0,3.0,50.0,8,2.5315382812499996,0.4132859375,0.16843045693700187,-0.4118077145957386
353,0,3791.0,3.0,40.0,5,1.590287890625,0.3015578125,0.16767550076348325,0.3025293198486001
354,0,3791.0,3.0,30.0,7,1.3985375,0.2668015625,-0.5195873166067906,-1.1916455155171284
356,0,3791.0,4.0,1000.0,28,1.96024921875,0.3309546875,0.1585123429930997,-0.44554488361938205
357,0,3791.0,4.0,20.0,8,1.184526171875,0.21577617187499995,-0.8437949882426312,-3.441193810765597
358,0,3791.0,4.0,50.0,8,2.9557664062500004,0.4503953125,0.5015259337556747,0.23846923533887965
359,0,3791.0,4.0,40.0,5,2.0609910156250004,0.34639140625,0.7564857444964902,0.7539683311906904
360,0,3791.0,4.0,30.0,7,2.3600632812500004,0.3777296875,0.038191957184146474,-0.9513259180813611
362,0,3791.0,5.0,1000.0,28,1.80019296875,0.313032421875,0.06110083422504897,-0.6078684941751378
363,0,3791.0,5.0,20.0,8,1.33223125,0.23750468749999998,0.1734233095766744,-1.0755024779443016
364,0,3791.0,5.0,50.0,8,2.5459984375,0.42157500000000003,-0.010571822657831964,-0.3745678030826398
365,0,3791.0,5.0,40.0,5,1.603715625,0.293601171875,0.5599005339463117,0.20614582298397677
366,0,3791.0,5.0,30.0,7,2.058737890625,0.3431175781250001,0.19136189614318633,-0.6143493385273915
368,0,3791.0,6.0,1000.0,28,1.752097265625,0.3123,0.17094473576538294,-0.035924018066330055
369,0,3791.0,6.0,20.0,8,1.3113234375,0.24102265624999997,0.19590013455565036,-0.14146916678067267
370,0,3791.0,6.0,50.0,8,1.8268484375,0.34208515625,-0.14967173488602104,-0.7175771393611727
371,0,3791.0,6.0,40.0,5,2.1487257812499996,0.356589453125,0.46152768116490805,0.47579480721953005
372,0,3791.0,6.0,30.0,7,2.0129835937499996,0.34893281249999997,0.3491917157515836,0.5163543658073121
374,0,3791.0,7.0,1000.0,28,1.71454375,0.3049875000000001,0.2990309394896328,0.03490952559605587
375,0,3791.0,7.0,20.0,8,1.63350078125,0.271340234375,0.29241053523689575,-1.1265507453887813
376,0,3791.0,7.0,50.0,8,1.45341328125,0.29853984375,0.27466016631643286,0.01979392639225719
377,0,3791.0,7.0,40.0,5,3.0507371093750004,0.435502734375,0.5436286479579484,0.7544135252132904
378,0,3791.0,7.0,30.0,7,1.30098125,0.251420703125,-0.010275305919845934,-1.3112799345661044
380,0,3791.0,8.0,1000.0,28,1.548928125,0.279441015625,0.18710918311622704,-0.4988827396924136
381,0,3791.0,8.0,20.0,8,1.259909765625,0.21787343749999996,-0.8868470549663199,-4.14060518999431
382,0,3791.0,8.0,50.0,8,1.167824609375,0.2557152343750001,0.10909131455333454,-0.36285522129243275
383,0,3791.0,8.0,40.0,5,1.9774390625,0.32676015625,0.17351044304578656,-0.615340886709306
384,0,3791.0,8.0,30.0,7,2.02793203125,0.34355,0.7357678886402785,0.6700413511601824
386,0,3781.0,1000.0,1000.0,288,3.1535203125000004,0.4346703125,0.5574891769514918,0.68174533997626
387,0,3781.0,0.0,1000.0,32,3.82948984375,0.47529765625,0.5950522673483709,0.7696746224324765
388,0,3781.0,0.0,20.0,8,3.3645578125000006,0.41142109375,0.5748507541170006,0.8719451004732586
389,0,3781.0,0.0,50.0,8,5.7579125,0.61289296875,0.6916995464507151,0.8088551602279689
390,0,3781.0,0.0,40.0,8,3.26894296875,0.4660203125,0.564892269762504,0.7835421405760783
391,0,3781.0,0.0,30.0,8,3.9840867187500004,0.486528125,0.5968530445195989,0.7962734677238338
393,0,3781.0,1.0,1000.0,32,3.82948984375,0.47529765625,0.5950522673483709,0.7696746224324765
394,0,3781.0,1.0,20.0,8,3.3645578125000006,0.41142109375,0.5748507541170006,0.8719451004732586
395,0,3781.0,1.0,50.0,8,5.7579125,0.61289296875,0.6916995464507151,0.8088551602279689
396,0,3781.0,1.0,40.0,8,3.26894296875,0.4660203125,0.564892269762504,0.7835421405760783
397,0,3781.0,1.0,30.0,8,3.9840867187500004,0.486528125,0.5968530445195989,0.7962734677238338
